$RSRFA,1688650179.989,41.5706,-71.4021,149.39,RSI,4,4,113.2,306.01,41.5712,-71.4032,8.7,15.5,100,*08
$RSRFA,1688650185.25,41.5706,-71.4020,150.82,RSI,3,3,256.9,94.65,41.5704,-71.3989,8.2,15.5,100,*02
$RSRFA,1688650185.258,41.5706,-71.4020,150.82,RSI,4,4,119.4,302.27,41.5711,-71.4032,8.7,15.5,100,*0A
$RSRFA,1688650190.818,41.5705,-71.4020,152.92,RSI,3,3,253.3,86.49,41.5707,-71.3989,8.2,15.5,100,*31
$RSRFA,1688650196.488,41.5705,-71.4019,156.05,RSI,3,3,250.1,92.30,41.5704,-71.3989,8.2,15.5,100,*3B
$RSRFA,1688650202.2,41.5704,-71.4019,157.90,RSI,3,3,246.6,95.91,41.5702,-71.3989,8.2,15.5,100,*35
$RSRFA,1688650202.209,41.5704,-71.4019,157.90,RSI,4,4,136.7,306.87,41.5712,-71.4032,8.7,15.5,100,*0D
$RSRFA,1688650207.927,41.5704,-71.4018,158.39,RSI,3,3,243.2,93.64,41.5703,-71.3989,8.2,15.5,100,*3F
$RSRFA,1688650213.475,41.5704,-71.4018,157.86,RSI,3,3,239.9,91.35,41.5703,-71.3989,8.2,15.5,100,*3B
$RSRFA,1688650213.485,41.5704,-71.4018,157.86,RSI,4,4,148.1,305.78,41.5711,-71.4032,8.7,15.5,100,*06
$RSRFA,1688650219.182,41.5703,-71.4017,160.19,RSI,3,3,236.8,298.99,41.5714,-71.4042,8.2,15.5,100,*0A
$RSRFA,1688650219.183,41.5703,-71.4017,160.19,RSI,4,4,154.0,309.02,41.5712,-71.4032,8.7,15.5,100,*0B
$RSRFA,1688650224.761,41.5703,-71.4017,159.46,RSI,4,4,160.0,304.37,41.5711,-71.4033,8.7,15.5,100,*01
$RSRFA,1688650230.392,41.5702,-71.4016,159.13,RSI,4,4,165.7,310.42,41.5712,-71.4032,8.7,15.5,100,*0B
$RSRFA,1688650235.993,41.5702,-71.4016,156.97,RSI,3,3,228.7,26.17,41.5720,-71.4004,8.2,15.5,100,*3B
$RSRFA,1688650236.001,41.5702,-71.4016,156.97,RSI,4,4,171.6,307.86,41.5711,-71.4032,8.7,15.5,100,*0E
$RSRFA,1688650241.757,41.5702,-71.4016,157.38,RSI,4,4,177.5,315.38,41.5713,-71.4031,8.7,15.5,100,*0C
$RSRFA,1688650247.339,41.5701,-71.4015,159.03,RSI,3,3,224.0,82.13,41.5704,-71.3988,8.2,15.5,100,*3B
$RSRFA,1688650252.662,41.5701,-71.4015,159.16,RSI,3,3,221.8,97.51,41.5698,-71.3988,8.2,15.5,100,*3B
$RSRFA,1688650257.947,41.5700,-71.4014,157.28,RSI,3,3,219.2,73.18,41.5706,-71.3989,8.2,15.5,100,*34
